47	Dietary Supplement/Medications/Remedy	omkar adulsa compound	Lead	0.16	ppm	Omkara	INDIA	INDIA	03/10/2011	C	NO
48	Food-Spice	cumin seeds	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
49	Food-Spice	ajwain	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
50	Food-Spice	curry powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/16/2011	C	NA
51	Food-Spice	turmeric powder	Lead	Unknown	ppm	National Foods Limited	PAKISTAN	UNITED STATES	03/16/2011	C	NA
52	Food-Candy	dulces vero mango	Lead	0.44	ppm	Dulces Vero	MEXICO	UNITED STATES	03/17/2011	C	YES
53	Toys/Children's Products	painted metal toy school bus	Lead	41	ppm	Buddy L Corp	MACAU	Unknown	03/17/2011	C	NO
54	Toys/Children's Products	painted wooden toy top	Lead	170	ppm	Unknown	MEXICO	MEXICO	03/17/2011	C	YES
55	Food-Spice	cumin powder	Lead	4.4	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	YES
56	Food-Spice	turmeric powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	NA
57	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	UNITED STATES	03/22/2011	C	NA
58	Dietary Supplement/Medications/Remedy	cetamol liquid pain fever reliever	Lead	Unknown	ppm	Cetamol	JAMAICA	JAMAICA	03/24/2011	C	NA
59	Dietary Supplement/Medications/Remedy	infants gripe mixture	Lead	Unknown	ppm	P.A. Benjamin Manufacturing Co. LTD	JAMAICA	JAMAICA	03/24/2011	C	NA
60	Dietary Supplement/Medications/Remedy	childrens dph decongestant	Lead	Unknown	ppm	Federal Pharmaceutical	JAMAICA	JAMAICA	03/24/2011	C	NA
61	Food-Spice	georgian spice	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NA
62	Food-Spice	georgian spice	Lead	0.7	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NO
63	Food-Spice	georgian spice	Lead	1.5	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NO
64	Food-Spice	cumin	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	03/25/2011	C	NA
65	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/25/2011	C	NA
66	Food Other	fruit preserved mangoes cooked in clay pot	Lead	350	ppm	Unknown	Unknown	MEXICO	03/28/2011	A	YES
67	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/29/2011	C	NA
68	Food-Spice	coriander seeds	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	03/29/2011	C	NA
69	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Arsenic	Unknown	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	NA
70	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Lead	29	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	YES
71	Dietary Supplement/Medications/Remedy	vasant kusumakar ras with gold and pearl	Mercury	31000	ppm	Dabur India LTD.	INDIA	INDIA	03/30/2011	A	YES
72	Dietary Supplement/Medications/Remedy	mahashakti rasayan	Arsenic	1700	ppm	Vyas Pharmaceuticals	INDIA	INDIA	03/30/2011	A	YES
73	Dietary Supplement/Medications/Remedy	mahashakti rasayan	Lead	9400	ppm	Vyas Pharmaceuticals	INDIA	INDIA	03/30/2011	A	YES
74	Dietary Supplement/Medications/Remedy	mahashakti rasayan	Mercury	70000	ppm	Vyas Pharmaceuticals	INDIA	INDIA	03/30/2011	A	YES
75	Tableware/Pottery	miniature clay pot	Lead	25000	ppm	Unknown	Unknown	MEXICO	04/01/2011	A	YES
76	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	04/04/2011	A	NA
77	Food-Spice	turmeric	Lead	Unknown	ppm	Unknown	Unknown	PAKISTAN	04/04/2011	A	NA
78	Food-Spice	saffloweryellow flower	Lead	12	ppm	Unknown	Unknown	GEORGIA	04/04/2011	A	YES
79	Toys/Children's Products	yellow plastic fish with green fin	Lead	Unknown	ppm	Unknown	CHINA	Unknown	04/06/2011	C	NA
80	Food-Spice	ginger powder	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
81	Food Other	orange food coloring	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
82	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
83	Food-Spice	oregano	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
84	Food Other	tea	Lead	3.2	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	YES
85	Food-Spice	curry powder	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
86	Food-Spice	turmeric powder	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
87	Dietary Supplement/Medications/Remedy	purple flower	Lead	Unknown	ppm	Unknown	MOROCCO	UNITED STATES	04/06/2011	C	NA
88	Food-Candy	el chavo lollipop	Lead	Unknown	ppm	Dulces Vero	MEXICO	Unknown	04/07/2011	C	NA
89	Food-Spice	georgian spice	Lead	14000	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	YES
90	Food-Spice	uckho suneli	Lead	8.5	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	YES
91	Food-Spice	chili powder	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	NA
92	Food-Spice	kinzi spice	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	NA
93	Food-Spice	kondari green spice	Lead	3.2	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	YES
94	Food-Spice	svanuri salt	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	NA
95	Food-Spice	kinzi marilit	Lead	Unknown	ppm	Unknown	GEORGIA	GEORGIA	04/07/2011	A	NA
96	Food-Spice	cumin	Lead	Unknown	ppm	Unknown	Unknown	Unknown	04/11/2011	C	NA
97	Food-Spice	turmeric	Lead	Unknown	ppm	Unknown	Unknown	Unknown	04/11/2011	C	NA
98	Food-Spice	unlabeled spice	Lead	Unknown	ppm	Preema International LTD	UNITED KINGDOM	Unknown	04/11/2011	C	NA
99	Food-Spice	coriander powder	Lead	2.6	ppm	Unknown	Unknown	Unknown	04/11/2011	C	YES
100	Food-Spice	paprika	Lead	Unknown	ppm	Unknown	Unknown	Unknown	04/11/2011	C	NA
101	Toys/Children's Products	painted wooden toy	Lead	Unknown	ppm	Unknown	Unknown	Unknown	04/14/2011	C	NA
102	Food Other	dried fish	Lead	Unknown	ppm	Unknown	Unknown	BANGLADESH	04/14/2011	A	NA
103	Food-Spice	cumin powder	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	NA
104	Food-Spice	chili powder	Lead	2.2	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	YES
105	Food-Spice	turmeric powder	Lead	1300	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	YES
106	Food-Spice	cardamon chili pepper cinnamon	Lead	0.91	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	NO
107	Food-Spice	turmeric powder	Lead	1.5	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	NO
108	Food-Spice	cumin powder	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	04/14/2011	A	NA
109	Food Other	olla azteca tamarind pulp	Lead	Unknown	ppm	El Azteca de Mexico	MEXICO	UNITED STATES	04/15/2011	A	NA
110	Food Other	donitas	Lead	Unknown	ppm	Totis	MEXICO	UNITED STATES	04/15/2011	A	NA
111	Food-Spice	cumin	Lead	Unknown	ppm	Unknown	Unknown	MEXICO	04/15/2011	C	NA
112	Food-Spice	turmeric	Lead	5.5	ppm	Radhuni	BANGLADESH	UNITED STATES	04/18/2011	C	YES
113	Food-Spice	chili powder	Lead	Unknown	ppm	Radhuni	BANGLADESH	UNITED STATES	04/18/2011	C	NA
114	Food-Spice	cumin powder	Lead	Unknown	ppm	Radhuni	BANGLADESH	UNITED STATES	04/18/2011	C	NA
115	Food Other	ambroxol hydrochloride bp	Lead	Unknown	ppm	Square Pharmacuetical	BANGLADESH	BANGLADESH	04/18/2011	C	NA
116	Dietary Supplement/Medications/Remedy	ketotifen 1 mg	Lead	Unknown	ppm	ACI Limited	BANGLADESH	BANGLADESH	04/18/2011	C	NA
117	Dietary Supplement/Medications/Remedy	zovia kids multivitamin syrup	Lead	Unknown	ppm	OPSONIN PHARMA LIMITED	BANGLADESH	BANGLADESH	04/18/2011	C	NA
118	Dietary Supplement/Medications/Remedy	montelukast 4mg	Lead	Unknown	ppm	Acme LA	BANGLADESH	BANGLADESH	04/18/2011	C	NA
119	Food-Spice	chili powder	Lead	2.1	ppm	Unknown	BANGLADESH	BANGLADESH	04/19/2011	C	YES
120	Food-Spice	coriander powder	Lead	Unknown	ppm	Unknown	Unknown	BANGLADESH	04/19/2011	C	NA
121	Food-Spice	cumin powder	Lead	Unknown	ppm	Unknown	BANGLADESH	BANGLADESH	04/19/2011	C	NA
122	Food-Spice	turmeric powder	Lead	2.2	ppm	Unknown	BANGLADESH	BANGLADESH	04/19/2011	C	YES
123	Food-Spice	turmeric powder	Lead	1300	ppm	Unknown	BANGLADESH	BANGLADESH	04/19/2011	C	YES
124	Food Other	dried fish	Lead	2.2	ppm	Unknown	Unknown	BANGLADESH	04/19/2011	C	YES
125	Jewelry	bracelet	Lead	Unknown	ppm	Unknown	Unknown	BANGLADESH	04/19/2011	C	NA
126	Jewelry	bracelet	Lead	1500	ppm	Unknown	Unknown	BANGLADESH	04/19/2011	C	YES
127	Food Other	red jelly filled cookie	Lead	Unknown	ppm	Unknown	MEXICO	Unknown	04/20/2011	C	NA
128	Food Other	canelitas cinnamon cookies	Lead	Unknown	ppm	Unknown	MEXICO	UNITED STATES	04/20/2011	C	NA
129	Food-Spice	chili powder	Lead	Unknown	ppm	Square Consumer Products, Ltd	BANGLADESH	UNITED STATES	04/22/2011	C	NA
130	Food-Spice	cumin powder	Lead	Unknown	ppm	Square Consumer Products, Ltd	BANGLADESH	UNITED STATES	04/22/2011	C	NA
131	Food-Spice	curry powder	Lead	Unknown	ppm	Square Consumer Products, Ltd	BANGLADESH	UNITED STATES	04/22/2011	C	NA
132	Food-Spice	coriander powder	Lead	Unknown	ppm	Square Consumer Products, Ltd.	BANGLADESH	UNITED STATES	04/22/2011	C	NA
133	Food Other	brown bark like material	Lead	330	ppm	Unknown	CHINA	CHINA	04/26/2011	C	YES
134	Food-Spice	rhizoma simi lacis glabrae	Lead	Unknown	ppm	Unknown	Unknown	CHINA	04/26/2011	C	NA
135	Food Other	cordyceps	Lead	Unknown	ppm	Yiyuan	Unknown	CHINA	04/26/2011	C	NA
136	Food Other	offwhite wood like material for soup	Lead	Unknown	ppm	Yiyuan	Unknown	CHINA	04/26/2011	C	NA
137	Food-Spice	almonds	Lead	Unknown	ppm	Yiyuan	Unknown	CHINA	04/26/2011	C	NA
138	Toys/Children's Products	copper colored painted ceramics	Lead	25000	ppm	Unknown	MEXICO	MEXICO	04/28/2011	C	YES
139	Tableware/Pottery	painted green and tan ceramic toy	Lead	2300	ppm	Unknown	MEXICO	MEXICO	04/28/2011	C	YES
140	Toys/Children's Products	painted brown ceramic miniature pot	Lead	8900	ppm	Unknown	MEXICO	MEXICO	04/28/2011	C	YES
141	Food Other	leche galletas	Lead	Unknown	ppm	Grupo Malla	DOMINICAN REPUBLIC	Unknown	04/28/2011	C	NA
142	Food Other	tan cookies	Lead	Unknown	ppm	Unknown	MEXICO	Unknown	04/28/2011	C	NA
143	Food-Spice	chili powder	Lead	12	ppm	Eastern Condiments LTD	INDIA	UNITED STATES	04/28/2011	C	YES
144	Food-Spice	coriander powder	Lead	8.3	ppm	Unknown	Unknown	UNITED STATES	04/28/2011	C	YES
145	Food-Spice	curry powder	Lead	1.2	ppm	Unknown	Unknown	Unknown	04/28/2011	C	NO
146	Food-Spice	masala	Lead	Unknown	ppm	Unknown	Unknown	Unknown	04/28/2011	C	NA
147	Food-Spice	khmeli suneli	Lead	14000	ppm	Unknown	GEORGIA	GEORGIA	05/03/2011	C	YES
148	Food Other	tamarind	Lead	Unknown	ppm	Unknown	Unknown	MEXICO	05/03/2011	C	NA
149	Food Other	chocolate	Lead	Unknown	ppm	Unknown	Unknown	MEXICO	05/03/2011	C	NA
